version,2,reserved,reserved,reserved,reserved,reserved,reserved,,
Atlas Shrugged,RQPPRUQ,,JTJ,2R9RCV9V,,S5,,,
30,,,,,,,,,
2016/07/08,,,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109,,231
2,Butterburger,11,PLQLJ8QU,109,,11,105,,
3,Nordar,11,90G8OUYU,109,,11,90,,
4,DarthCarlos10,10,8YVP9R8V,90,1,10,89,,
5,Dark Skull,10,9QJYP8RQ,89,1,10,88,,
6,Sno,10,GQV9G9VV,88,,10,86,,
7,Aboy,10,VQ9PUJV2,85,,10,85,,
8,Nordar 2,10,Q2R202V2,85,,10,85,,
9,Eleazar,9,C8GRJVL0,70,,10,84,,
10,Czech1Czech2,9,22CP2Y828,70,,10,70,,
11,Amagnus,9,JVQ8JPQV,69,,10,70,,
12,RedACE,9,GRJLGCUQ,69,,10,70,,
13,H,9,U8YJLOL9,69,1,9,70,,
14,Andy,9,YQJYYJR8,69,1,9,70,,
15,Batman,9,2QU9CC8,69,1,9,70,,
16,Mord,9,22JGQUCJQ,69,1,9,69,,
17,UTiger13,9,2OVQLGRUJ,69,1,9,69,,
18,Eric,9,YYGOV9VC,69,1,9,69,,
19,Tochtli Feo,9,JVUPGVGU,69,1,9,69,,
20,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69,,
21,Corey,9,GLJRRGV9,68,1,9,69,,
22,Khaos,9,U9C2QCY2,68,1,9,69,,
23,Lacey Clan,9,R08YP9Q8,68,1,9,69,,
24,Twistadude,9,RCY80LUU,68,1,9,68,,
25,Aleister Crowle,9,Q9922RUU,68,,9,67,,
26,Frog,9,2JVLYQQP,67,,9,66,,
27,WanG,9,LUYO999R,66,,9,66,,
28,Joe,9,LG9GQQJ8,65,,9,65,,
29,Poz,9,PPRYLOUY,65,,9,63,,
30,beteljuice,9,29OV2LQRR,64,,9,62,,
1,,,10,12,3,100,,,
2,,,21,19,3,100,,,
3,,,17,15,1,81,,,
4,,,24,28,2,78,,,
5,3,100,30,25,,,,,
6,3,100,22,23,,,,,
7,,,17,18,3,100,,,
8,3,100,13,26,,,,,
9,3,100,5,6,,,,,
10,,,13,20,2,95,,,
11,2,68,13,19,,,,,
12,,,22,22,1,46,,,
13,,,8,9,2,56,,,
14,,,14,15,2,62,,,
15,,,24,21,2,85,,,
16,,,9,10,3,100,,,
17,,,18,19,1,60,,,
18,,,16,23,3,100,,,
19,2,66,21,13,,,,,
20,1,86,23,27,,,,,
21,,,24,27,2,78,,,
22,2,79,18,21,,,,,
23,,,22,27,3,100,,,
24,,,7,9,2,70,,,
25,,,15,17,3,100,,,
26,,,23,22,2,58,,,
27,,,12,11,3,100,,,
28,2,73,21,16,,,,,
29,,,11,10,3,100,,,
30,,,25,29,2,66,,,
31,,,14,12,2,92,,,
32,,,26,24,1,86,,,
33,2,95,23,30,,,,,
34,,,20,20,3,100,,,
35,2,78,18,24,,,,,
36,3,100,28,29,,,,,
37,3,100,10,13,,,,,
38,3,100,14,30,,,,,
39,1,65,24,19,,,,,
40,2,92,29,27,,,,,
41,,,14,11,3,100,,,
42,3,100,30,28,,,,,
43,3,100,20,19,,,,,
44,1,90,25,20,,,,,
45,1,77,24,21,,,,,
46,2,53,25,22,,,,,
47,2,67,20,20,,,,,
48,2,86,27,24,,,,,
49,2,67,5,7,,,,,
50,3,100,15,24,,,,,
51,2,93,26,22,,,,,
52,,,30,29,2,96,,,
53,,,19,16,3,100,,,
54,2,92,14,27,,,,,
55,2,74,26,21,,,,,
56,,,28,25,1,81,,,
57,3,100,17,22,,,,,
58,,,18,18,3,100,,,
59,,,27,14,3,100,,,
60,2,55,6,3,,,,,
61,,,23,14,2,75,,,
62,,,30,28,1,74,,,
63,2,85,22,18,,,,,
64,2,78,19,15,,,,,
65,,,28,26,3,100,,,
66,2,69,16,14,,,,,
67,1,83,29,17,,,,,
68,2,98,12,16,,,,,
69,,,24,24,3,100,,,
70,,,26,21,3,100,,,
71,,,8,7,2,69,,,
72,0,48,17,21,,,,,
73,2,79,28,27,,,,,
74,,,29,25,3,100,,,
75,,,30,30,1,30,,,
76,2,95,16,16,,,,,
77,,,13,16,3,100,,,
78,,,30,26,2,91,,,
79,2,51,27,20,,,,,
80,3,100,12,17,,,,,
81,3,100,11,15,,,,,
82,,,1,1,0,38,,,
83,,,23,23,3,100,,,
84,3,100,4,10,,,,,
85,,,30,17,2,94,,,
86,3,100,19,27,,,,,
87,,,7,4,2,80,,,
88,,,25,30,3,100,,,
89,2,70,9,18,,,,,
90,3,100,8,11,,,,,
91,,,7,7,3,100,,,
92,2,97,2,4,,,,,
93,,,8,5,3,100,,,
94,2,74,15,21,,,,,
95,3,100,8,12,,,,,
96,2,88,9,20,,,,,
97,3,100,7,14,,,,,
98,,,1,2,2,84,,,
99,3,100,4,8,,,,,
100,,,30,13,3,100,,,
101,1,59,11,20,,,,,
102,2,83,3,2,,,,,
103,,,2,3,2,75,,,
104,2,66,10,18,,,,,
105,3,100,6,16,,,,,
106,1,62,2,5,,,,,
107,,,5,6,2,60,,,
108,2,58,1,1,,,,,
109,,,3,13,0,20,,,
110,,,4,1,2,98,,,
111,,,4,8,1,54,,,
112,3,100,3,9,,,,,
113,3,100,7,20,,,,,
114,,,6,6,2,59,,,
115,,,5,5,3,100,,,
116,,,6,4,2,71,,,
117,,,3,2,2,70,,,
118,,,1,3,2,87,,,
119,1,61,1,5,,,,,
120,,,6,8,1,59,,,