version,2,reserved,reserved,reserved,reserved,reserved,reserved
TheRebelsInc,8CV0Gu0Q,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/11/25,,,,,,,
1,DarthCarlos11,11,RVQRQL2Y,108,,11,106
2,NHHung,11,UJLUU9CR,105,1,10,89
3,CactusClan,10,2PQ89PQ82,89,,10,87
4,Darth Carlos,10,VJG8CCUG,89,,10,87
5,Chris,10,229YCRYQV,88,,10,87
6,SwuTangClan,10,8G9LVLP0,87,,10,86
7,Aboy,10,VQ9PUJV2,87,,10,85
8,LMNTrix,10,8V828GRP,83,,10,84
9,nato,10,2PQ9OVQOV,72,1,9,69
10,ThatAmagnus,10,GPGQC89C,71,1,9,69
11,Czech1Czech2,9,22CP2Y828,70,1,9,69
12,Dirk N,9,8Y8V8J9C,70,1,9,69
13,Corey,9,GLJRRGV9,70,1,9,69
14,Batman,9,2QU9CC8,69,1,9,69
15,Eleazar,9,C8GRJVL0,69,1,9,69
16,Ohio-Legend-216,9,29QLGYC9Q,69,,9,68
17,Jippieh Yeah,9,YCYV88UV,69,,9,68
18,Amagnus,9,JVQ8JPQV,69,,9,68
19,Whooboy,9,22UOVV2JJ,69,,9,68
20,Mr. Pizza,9,LU2L8JUV,69,,9,68
21,RedACE,9,GRJLGCUQ,68,,9,68
22,sharent,9,YGQQ89LR,68,,9,68
23,Avra's Secret,9,28LYQPRG,68,,9,67
24,ViciousVictor,9,CJP89Q2V,68,,9,67
25,michael,9,VU2V9CLV,67,,9,66
26,Swu2,9,ULYCYCRR,66,,9,66
27,Aleister Crowle,9,Q9922RUU,66,,9,65
28,Joe,9,LG9GQQJ8,66,,9,65
29,Double G,9,JY8R9G9U,66,,9,64
30,Poz,9,PPRYLOUY,66,,9,61
1,3,100,12,11,,,
2,,,16,18,2,76,
3,1,72,25,23,,,
4,,,26,27,3,100,
5,,,25,19,2,65,
6,3,100,29,28,,,
7,,,16,19,2,88,
8,,,11,21,1,73,
9,,,23,27,2,81,
10,2,90,28,19,,,
11,,,28,26,3,100,
12,,,29,30,2,93,
13,3,100,12,10,,,
14,,,12,10,1,90,
15,3,100,28,27,,,
16,,,14,10,1,80,
17,,,29,25,2,90,
18,,,20,28,3,100,
19,,,11,23,3,100,
20,,,29,29,3,100,
21,3,100,21,13,,,
22,,,27,26,3,100,
23,2,97,29,26,,,
24,3,100,5,5,,,
25,1,71,26,29,,,
26,,,25,25,1,81,
27,,,22,28,3,100,
28,2,95,21,14,,,
29,,,16,16,3,100,
30,,,17,20,2,97,
31,3,100,26,30,,,
32,2,93,11,9,,,
33,,,19,12,2,86,
34,2,71,23,16,,,
35,1,63,20,15,,,
36,,,23,22,3,100,
37,1,79,30,29,,,
38,2,77,5,6,,,
39,,,18,20,2,98,
40,,,14,16,3,100,
41,3,100,30,29,,,
42,,,21,23,2,82,
43,,,12,17,3,100,
44,3,100,11,14,,,
45,2,85,15,21,,,
46,1,98,23,23,,,
47,,,18,12,1,78,
48,3,100,27,25,,,
49,3,100,2,3,,,
50,,,15,14,2,84,
51,3,100,6,8,,,
52,2,75,8,4,,,
53,,,19,14,2,87,
54,,,24,24,0,38,
55,2,87,6,7,,,
56,2,86,16,17,,,
57,2,88,27,18,,,
58,2,94,16,23,,,
59,,,15,13,2,76,
60,1,71,14,21,,,
61,,,30,24,2,69,
62,,,25,22,3,100,
63,2,81,24,26,,,
64,,,24,13,1,77,
65,2,99,15,24,,,
66,,,18,15,2,94,
67,2,69,24,22,,,
68,,,19,15,3,100,
69,2,65,25,20,,,
70,,,8,4,2,69,
71,2,99,13,15,,,
72,,,13,8,1,67,
73,3,100,19,15,,,
74,,,18,9,3,100,
75,3,100,22,26,,,
76,,,13,17,3,100,
77,3,100,13,21,,,
78,3,100,19,19,,,
79,2,55,2,1,,,
80,,,21,9,2,99,
81,1,60,14,23,,,
82,3,100,7,12,,,
83,2,85,18,18,,,
84,3,100,22,17,,,
85,2,71,10,2,,,
86,3,100,18,23,,,
87,,,15,7,1,94,
88,,,24,21,0,47,
89,,,24,11,2,64,
90,2,54,4,6,,,
91,1,52,30,20,,,
92,,,6,7,2,69,
93,3,100,20,24,,,
94,3,100,1,4,,,
95,,,24,18,2,91,
96,,,10,6,2,90,
97,2,99,17,18,,,
98,3,100,1,7,,,
99,3,100,8,20,,,
100,,,1,5,2,54,
101,,,17,11,2,85,
102,,,9,6,3,100,
103,2,63,4,2,,,
104,3,100,3,9,,,
105,,,5,5,2,68,
106,,,30,30,3,100,
107,,,7,1,3,100,
108,3,100,7,18,,,
109,2,89,17,22,,,
110,,,10,4,1,70,
111,,,15,2,3,100,
112,3,100,10,22,,,
113,2,55,9,6,,,
114,,,3,1,3,100,
115,2,90,9,16,,,
116,,,4,8,2,69,
117,3,100,3,16,,,
118,,,21,2,3,100,